Source page: http://www.caroftheyear.org/voting-grid/2013_1/coty,
country_image,country_image/_alt,name_link,name_link/_text,name_link/_title,country_value,volkswagen_number,subarubrz_number,volvov40_number,fordbmax_number,mercedesa_number,renaultclio_number,peugeot208_number,hyundaii30_number
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=43","Ton Roks","Ton  Roks","","3","8","2","4","2","2","1","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=42","Jos Vroomans","Jos  Vroomans","","6","8","2","5","1","1","1","1"
"http://www.caroftheyear.org/imagenes/bandera/347.png","Norway","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=53","Rune Korsvoll","Rune  Korsvoll","Norway","6","0","4","8","4","1","1","1"
"http://www.caroftheyear.org/imagenes/bandera/359.png","Poland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=55","Wojciech Sierpowski","Wojciech  Sierpowski","Poland","9","2","2","4","0","2","2","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=54","Maciek Ziemek","Maciek Ziemek","","6","5","5","2","1","2","2","2"
"http://www.caroftheyear.org/imagenes/bandera/360.png","Portugal","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=93","Francisco Mota","Francisco Mota","Portugal","10","4","0","2","1","6","0","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=56","Joaquim Oliveira","Joaquim  Oliveira","","6","2","2","2","5","2","2","4"
"http://www.caroftheyear.org/imagenes/bandera/363.png","Russia","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=60","Vadim Ovsiankin","Vadim  Ovsiankin","Russia","6","1","7","2","3","1","1","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=59","Mikhail I. Podorozhansky","Mikhail I.  Podorozhansky","","6","2","4","1","3","3","4","2"
"http://www.caroftheyear.org/imagenes/bandera/374.png","Slovenia","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=61","Tomaz Porekar","Tomaz  Porekar","Slovenia","6","4","3","4","0","2","2","4"
"http://www.caroftheyear.org/imagenes/bandera/378.png","Spain","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=64","Manuel Domenech","Manuel  Domenech","Spain","7","1","3","4","2","3","2","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=102","Rafael Guitart","Rafael Guitart","","6","1","4","2","3","4","3","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=62","Alberto Mallo","Alberto  Mallo","","8","1","2","2","2","5","3","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=95","Juan Carlos Payo","Juan Carlos Payo","","6","2","2","3","2","3","4","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=98","Xavier Pérez","Xavier  Pérez","","4","3","2","3","2","2","5","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=67","Sergio Piccione","Sergio  Piccione","","5","2","4","7","0","4","2","1"
"http://www.caroftheyear.org/imagenes/bandera/381.png","Sweden","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=69","Lasse Holmström","Lasse  Holmström","Sweden","10","0","9","4","0","1","1","0"
