brand_asData,home_country
alfaromeo,Italy
bmw,Germany
citron,France
dacia,Romania
fiat,Italy
ford,USA
honda,Japan
hyundai,South Korea
jaguar,United Kingdom
kia,South Korea
mazda,Japan
mercedes,Germany
mini,United Kingdom
nissan,Japan
opel,Germany
peugeot,France
rangerover,United Kingdom
renault,France
skoda,Czech Republic
subaru,Japan
tesla,USA
toyota,Japan
volkswagen,Germany
volvo,Sweden
